postComment,postCommentAuthor,postCommentTime_final,isSeller,postCommentLength,lns,salesQuantity,producePrice,productBought_ACHAR,productBought_BCP,productBought_BMC,productBought_BP,productBought_BS,productBought_BSS,productBought_BST,productBought_BT78,productBought_BTT,productBought_ER,productBought_FG,productBought_KBP,productBought_KKM,productBought_KN11,productBought_LCT33,productBought_MFC,productBought_NOSTOCK,productBought_OLP239,productBought_OTAK,productBought_PCT,productBought_PR,productBought_RGB,productBought_RGSS,productBought_RST,productBought_SCF,productBought_SL399,productBought_STF,productBought_TPT22,productBought_WAITLONGLONG,productBought_WAK,productBought_WBF
LAST 2 PCS!!! RED EMPEROR SNAPPER 1.2-1.5 KG/ PCS @ $22.90 Comment RES229+1 below to join the Sale,OceanStar Seafood,00:02:26,1,18,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Ohaiyo miko and team,Winnie Wu,00:02:37,0,4,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
2 X ANG KO LI WHOLE 1.3-1.6 KG/ PCS @ $29.90 Comment AKL299+1 below to join the Sale,OceanStar Seafood,00:02:37,1,18,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Oss,Samuel Goh,00:02:39,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Oss,Sherlyn Khoo,00:02:44,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Doreen Wah,00:02:45,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS meh,Samuel Goh,00:02:47,0,2,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WILD BARRAMUNDI WHOLE 3.5-3.9 KG/ PCS @ $49.90 Comment WB499+1 below to join the Sale,OceanStar Seafood,00:02:48,1,15,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Mrg OSS,Samuel Goh,00:02:55,0,2,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WILD GROUPER WHOLE 2.2-2.5 KG/ PCS @$39.90 Comment WG399+1 below to join the Sale,OceanStar Seafood,00:02:57,1,14,0,0,$39.90  WG399+1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:03:03,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Doreen Wah,00:03:04,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
MUST GRAB!!!! 2 X BATANG WHOLE 2.7-2.9 KG / PCS @ $78.00 Comment BT78+1 below to join the Sale.,OceanStar Seafood,00:03:12,1,19,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:03:12,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
oss,Huay Geok  Ang,00:03:23,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
oss,Huay Geok  Ang,00:03:31,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
MUST GRAB!!! 3 X WILD CAUGHT ANG KA 500G/ POR @$22.22 Comment WAK+1 below to join the Sale.,OceanStar Seafood,00:03:32,1,18,0,0,$22.22  WAK+1 ,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:03:33,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
oss,Huay Geok  Ang,00:03:40,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:03:40,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Doreen Wah,00:03:50,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
oss,Huay Geok  Ang,00:03:53,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:03:57,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Oss,Huay Geok  Ang,00:04:01,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
MUST GRAB!!! 3 X WILD CAUGHT ANG KA 500G/ POR @$22.22 Comment WAK+1 below to join the Sale.,OceanStar Seafood,00:04:06,1,18,0,0,$22.22  WAK+1 ,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
oSs,Huay Geok  Ang,00:04:09,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Good Morning my dear n Everyone ,Sabrina Chu,00:04:14,0,6,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
oss,Huay Geok  Ang,00:04:17,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Wak+1,Ivy Gin,00:04:21,0,1,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,22.22,0.0
OSS ,Doreen Wah,00:04:24,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Huay Geok  Ang,00:04:28,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Good morning Miko,Cjwee Surin,00:04:28,0,3,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Ivy Ng Lee Cheng,00:04:30,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Good morning miko,Ivy Gin,00:04:35,0,3,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Joanne Chong,00:04:46,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WAK x 2,Joanna Ee,00:04:48,0,3,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Doreen Wah,00:04:48,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
wak+1,Huay Geok  Ang,00:04:53,0,1,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,22.22,0.0
OSS ,Ivy Ng Lee Cheng,00:04:53,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:05:01,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Good morning Miko  OSS,Joanne Chong,00:05:04,0,4,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
MUST GRAB!!! 3 X WILD CAUGHT ANG KA 500G/ POR @$22.22 Comment WAK+1 below to join the Sale.,OceanStar Seafood,00:05:07,1,18,0,0,$22.22  WAK+1 ,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WAK+1,Chiang Kok Chin,00:05:08,0,1,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,22.22,0.0
oss,Huay Geok  Ang,00:05:09,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
oss,Huay Geok  Ang,00:05:20,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Doreen Wah,00:05:38,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WAK+1,Ivy Ng Lee Cheng,00:05:38,0,1,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,22.22,0.0
oss,Huay Geok  Ang,00:05:42,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
MUST GRAB!!! 3 X WILD CAUGHT ANG KA 500G/ POR @$22.22 Comment WAK+1 below to join the Sale.,OceanStar Seafood,00:05:48,1,18,0,0,$22.22  WAK+1 ,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WAK+1,Clarissa Neo,00:05:49,0,1,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,22.22,0.0
oss,Huay Geok  Ang,00:05:52,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:05:52,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:05:56,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:06:02,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
oss,Huay Geok  Ang,00:06:10,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
CRAZY DEAL!!! 2 X COD TAIL PORTION 1.0-1.2 KG/ PCS ( ST) @ $111.11 Comment PCT+1 below to join the Sale,OceanStar Seafood,00:06:12,1,21,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Good morning Miko ,Clarissa Neo,00:06:13,0,3,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
2 X BATANG STEAK 250-350G/ PKT @$11.11 Comment BST+1 below to join the Sale,OceanStar Seafood,00:06:27,1,14,0,0,$11.11  BST+1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Doreen Wah,00:06:29,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
BST+1,Violet Yap,00:06:44,0,1,0,1,0,0.0,0.0,0,0.0,0,0.0,11.11,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS ,Ivy Ng Lee Cheng,00:07:12,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
OSS,Doreen Wah,00:07:22,0,1,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Bst+1,Huay Geok  Ang,00:07:37,0,1,0,1,0,0.0,0.0,0,0.0,0,0.0,11.11,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
2 X BLACK POMFRET 400-500G/ PCS @$11.11 Comment BP+1 below to join the Sale,OceanStar Seafood,00:07:45,1,14,0,0,$11.11  BP+1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
2 X BLACK POMFRET 400-500G/ PCS @$11.11 Comment BP+1 below to join the Sale,OceanStar Seafood,00:07:45,1,14,0,0,$11.11  BP+1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Bst+1,Ivy Gin,00:07:51,0,1,0,1,0,0.0,0.0,0,0.0,0,0.0,11.11,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
BP+1,Violet Yap,00:08:14,0,1,0,1,0,0.0,0.0,0,11.11,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
MUST GRAB!!! 2 X BLACK POMFRET 400-500G/ PCS @$11.11 Comment BP+1 below to join the Sale,OceanStar Seafood,00:08:15,1,16,0,0,$11.11  BP+1,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
